Tipo via;Descrizione via;Civico;Codice via;ZD;Camere;Camere piano;Categoria;Insegna;Piani totali;Piano piano;Posti letto;Posti letto per piano;Tipo attività struture extra
VIA;BREMBO;27,00;4219.0;5,00;55,00;55;2 STELLE;Non Specificato;1,00;1;99,00;99;Residence
VIA;BRIVIO CESARE;33,00;1502.0;9,00;12,00;0;2 STELLE;HOTEL BRIVIO;1,00;1;21,00;0;Hotel
VIA;BROGLIO EMILIO;28,00;1246.0;9,00;7,00;7;2 STELLE;HOTEL BOVISA;1,00;1;9,00;9;Hotel
VIA;BROLETTO;46,00;720.0;1,00;54,00;"13;10;10;10;8";3 STELLE;hotel centro;5,00;"1;2;3;4;5";94,00;"24;18;18;18;10";Hotel
VIA;BUONARROTI MICHELANGELO;13,00;6253.0;7,00;49,00;"5;10;9;5;5;5;5;5";4 STELLE;hotel wagner;8,00;"1;2;3;4;5;6;7;8";93,00;"9;20;19;9;9;9;9;9";Hotel
VIA;BUTTI ENRICO;9,00;1292.0;9,00;110,00;0;4 STELLE;hotel milton milano;1,00;1;308,00;0;Hotel
VIA;CACCIANINO ANTONIO;10,00;2419.0;3,00;8,00;8;1 STELLA;hotel ambra;1,00;1;18,00;18;Hotel
VIA;CADIBONA;2,00;3339.0;4,00;30,00;0;3 STELLE;hotel molise2;1,00;1;42,00;0;Hotel
VIA;CALVI PIETRO;32,00;3083.0;4,00;40,00;0;4 STELLE;hotel vittoria;1,00;1;58,00;0;Hotel
VIA;CANONICA LUIGI;38,00;7121.0;1,00;45,00;"9;9;9;9;9";3 STELLE;hotel europeo;5,00;"1;2;3;4;5";70,00;"21;21;21;21;21";Hotel
VIA;CANONICA LUIGI;79,00;7121.0;8,00;12,00;12;1 STELLA;pensione aris;1,00;1;17,00;17;Hotel
VIA;CAPPELLINI ALFREDO;18,00;2130.0;2,00;81,00;"16;16;17;17;15";3 STELLE;hotel delle nazioni;5,00;"1;2;3;4;5";163,00;"25;25;27;26;21";Hotel
VIA;CARCANO FILIPPO;37,00;6389.0;7,00;12,00;12;1 STELLA;hotel   leonardo;1,00;1;22,00;22;Hotel
VIA;CARCANO FILIPPO;39,00;6389.0;7,00;11,00;11;1 STELLA;hotel amendola fiera;1,00;1;23,00;23;Hotel
VIA;CARCANO FILIPPO;47,00;6389.0;7,00;8,00;"4;4";1 STELLA;gianni;2,00;"R;1";10,00;"5;5";Hotel
VIA;CARDANO GEROLAMO;1,00;1187.0;9,00;254,00;0;4 STELLE;hotel four points sheraton milan centre;1,00;1;465,00;0;Hotel
VIA;CASATI FELICE;18,00;2122.0;3,00;99,00;"16;16;16";4 STELLE;albergo felice casati;3,00;"1;2;3";145,00;"22;22;22";Hotel
VIA;CASELLA GIOVANNI BATTISTA;61,00;7382.0;8,00;86,00;"10;10;10;10;10";4 STELLE;hotel mirage;5,00;"1;2;3;4;5";132,00;"16;16;16;16;16";Hotel
VIA;CASTALDI PANFILO;16,00;2119.0;3,00;25,00;"0;0";3 STELLE;hotel brianza;2,00;";";36,00;"0;0";Hotel
VIA;CASTALDI PANFILO;17,00;2119.0;3,00;15,00;15;2 STELLE;hotel siena;1,00;1;25,00;25;Hotel
VIA;CASTALDI PANFILO;26,00;2119.0;3,00;12,00;12;1 STELLA;hotel porta venezia;1,00;1;20,00;20;Hotel
VIA;CASTALDI PANFILO;7,00;2119.0;2,00;52,00;13;4 STELLE;hotel baviera;4,00;"1;2;3;4";92,00;"19;18";Non Specificato
VIA;CASTELFIDARDO;2,00;1043.0;1,00;11,00;11;2 STELLE;antica locanda solferino;1,00;1;21,00;21;Hotel
VIA;CATALANI ALFREDO;69,00;2425.0;3,00;20,00;"3;4;4;4;4;1";1 STELLA;albergo la pace;6,00;"1;2;3;4;5;6";33,00;"6;0;0;0;0;2";Hotel
VIA;CATALANI ALFREDO;71,00;2425.0;3,00;20,00;"4;6;6;1";2 STELLE;hotel catalani e madrid;4,00;"R;1;2;3";38,00;"8;13;13;1";Hotel
VIA;CERVA;16,00;314.0;1,00;7,00;7;3 STELLE;residence cerva;1,00;1;7,00;7;Residence
VIA;CESARI ANTONIO;19,00;1603.0;9,00;89,00;"18;16;13;3";4 STELLE;residence siloe;7,00;"1;2;3;4;5;6;7";199,00;"37;27;29;9";Residence
VIA;CESENA;20,00;7226.0;8,00;35,00;35;3 STELLE;hotel corallo;1,00;1;48,00;48;Hotel
VIA;CIMAROSA DOMENICO;19,00;6291.0;7,00;23,00;23;3 STELLE;residence cimarosa;1,00;1;27,00;27;Residence
VIA;CIMAROSA DOMENICO;6,00;6291.0;7,00;66,00;66;4 STELLE;hotel capitol millennium;1,00;1;111,00;111;Hotel
VIA;COLA MONTANO;29,00;1139.0;9,00;21,00;0;2 STELLE;r.t.a. cola montano;1,00;1;21,00;0;Residence
VIA;COLOMBO GIUSEPPE;14,00;3201.0;3,00;10,00;0;3 STELLE;sunset city;1,00;1;17,00;0;Hotel
VIA;COLONNA VITTORIA;48,00;6284.0;7,00;13,00;"1;6;6";3 STELLE;residence colonna;3,00;"R;2;3";26,00;"2;12;12";Residence
